ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item Description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price,Formatted sale price
921826_001_8.5_CNF,,Nike air max 97,http://ballzy.eu/et/product/nike-air-max-97-921826-001-8-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_921826_001_8.5_CNF.jpg,,"<html><body><p> järgmine peatus: nike air max 97, mille originaalne laineline disain on inspireeritud jaapani kiirrongidest, võimaldab sul oma stiili täie hooga edasi viia. võttes revolutsioonilise täispika nike airi üksuse, mis raputas jooksumaailma, ning lisades sellele värsked värvid ja teravad detailid, saad sõita esmaklassilises mugavuses&hellip; toote omadused: mesh ja sünteetilised materjalid pealsel säilitavad og voolava välimuse, lisades samas mugavust ja vastupidavust&hellip; algselt j Vaata lähemalt ballzy.eu.",Men's Street Shoes,199.00 EUR,,"Nike,Black,Lifestyle,in stock,No,Nike,Male",,,,,,,,199€,
AV3042_100_8_CNF,,Air force 1 flyknit 2.0,http://ballzy.eu/et/product/air-force-1-flyknit-2-0-av3042-100-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_AV3042_100_8_CNF.jpg,,"<html><body><p> kerge kui õhelegend&hellip; nike air force 1 flyknit 2.0, mis on inspireeritud alates 1982. aastast väljakuid valitsevast kingast, toob tagasi af1-i, mis on kergem kui kunagi varem. flyknit-konstruktsioon koos klassikalise af1 disainiliinidega pakub vanakooli korvpallivibuusi, mis on pehmekaaluline&hellip; tooteomadused: nike air tehnoloogia pakub suurepärast pehmendust&hellip; flyknit konstruktsioon kohandub sinu jalale, pakkudes tuge ja kerget tunnetust&hellip; vahtpolster on p Vaata lähemalt ballzy.eu.",Men's Street Shoes,129.00 EUR,,"Nike,White,Lifestyle,in stock,No,Nike,Male",,,,,,,,129€,
B75806_8_CNF,,Samba og,http://ballzy.eu/et/product/samba-og-b75806-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_B75806_8_CNF.jpg,,<html><body><p> samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga. </p></body></html> Vaata lähemalt ballzy.eu.,Women's Street Shoes,119.00 EUR,,"adidas Originals,White,Lifestyle,in stock,No,adidas Originals,Male|Female",,,,,,,,119€,
B75807_8_CNF,,Samba og,http://ballzy.eu/et/product/samba-og-b75807-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_B75807_8_CNF.jpg,,<html><body><p> samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga. </p></body></html> Vaata lähemalt ballzy.eu.,Kids' Street Shoes,119.00 EUR,,"adidas Originals,Black,Lifestyle,in stock,No,adidas Originals,Male|Female|Children",,,,,,,,119€,
162050C_001_10_CNF,,Chuck 70 hi,http://ballzy.eu/et/product/chuck-70-hi-162050c-001-10-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_162050C_001_10_CNF.jpg,,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,Women's Street Shoes,94.00 EUR,,"Converse,Black,Lifestyle,in stock,No,Converse,Male|Female",,,,,,,,94€,
162058C_001_10_CNF,,Chuck 70 ox,http://ballzy.eu/et/product/chuck-70-ox-162058c-001-10-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_162058C_001_10_CNF.jpg,,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,Women's Street Shoes,89.00 EUR,69.00 EUR,"Converse,Black,Lifestyle,in stock,Yes,Converse,Male|Female",,,,,,,,89€,69€
CI0919_100_6_CNF,,W af1 shadow,http://ballzy.eu/et/product/w-af1-shadow-ci0919-100-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_CI0919_100_6_CNF.jpg,,"<html><body><p> duble the af1. double the fun&hellip; nike air force 1 shadow paneb klassikalise b-palli disaini mängulisele pöörde. kasutades mitmekihilist lähenemist, kahekordistades brändi ja liialdades kesksooli, rõhutab see af-1 dna-d julge, uue välimusega&hellip; toote omadused: 2 silmaalust, 2 porikaitset, 2 tagumist silmaalust ja 2 swoosh´i kujundust, mis tagavad mitmekihilise välimuse ja kahekordse brändi&hellip; vahtpolster ja sooneline välistald tagavad, et kinga on kerge, paindlik ja Vaata lähemalt ballzy.eu.",Women's Street Shoes,149.00 EUR,119.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Female",,,,,,,,149€,119€
BD7632_7.5_CNF,,Handball spezial,http://ballzy.eu/et/product/handball-spezial-bd7632-7-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_BD7632_7.5_CNF.jpg,,"<html><body><p> esmakordselt 1979. aastal eliitkäsipallurite jaoks kasutusele võetud kingad on nüüdseks armastatud oma klassikalise stiili tõttu. see versioon on valmistatud lehma mokkast pealsest, mis tagab paindliku tunde. pehme kummist välistald hoiab neid oma vintage-juurtele truuks. </p></body></html> Vaata lähemalt ballzy.eu.",Women's Street Shoes,114.00 EUR,99.00 EUR,"adidas Originals,Blue,Lifestyle,in stock,Yes,adidas Originals,Male|Female",,,,,,,,114€,99€
CW2288_111_8.5_CNF,,Air force 1 ´07,http://ballzy.eu/et/product/air-force-1-07-cw2288-111-8-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_CW2288_111_8.5_CNF.jpg,,"<html><body><p> legendaarne stiil refined&hellip; sära elab edasi nike air force 1 ´07-s, b-palli og-s, mis paneb värske pöörde sellele, mida tunned kõige paremini: vastupidavad õmblused, puhas viimistlus ja täiuslik kogus välku, mis paneb sind särama&hellip; tooteomadused: nike air pehmendus lisab kerget ja kogu päeva kestvat mugavust&hellip; madalalt lõigatud siluett lisab puhta ja voolujoonelise välimuse&hellip; pehmendusega krae on pehme ja mugav&hellip; toote omadused alapealkirjad: pehmend Vaata lähemalt ballzy.eu.",Men's Street Shoes,129.00 EUR,119.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Male",,,,,,,,129€,119€
VN000EYEW001_090_CNF,,Ua classic slip-on,http://ballzy.eu/et/product/ua-classic-slip-on-vn000eyew001-090-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN000EYEW001_090_CNF.jpg,,Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.,Women's Street Shoes,69.00 EUR,49.00 EUR,"Vans,White,Lifestyle,in stock,Yes,Vans,Male|Female",,,,,,,,69€,49€
